Date,Open,High,Low,Close,Adj Close,Volume
2024-01-29,394.984985,402.929993,393.100006,401.019989,400.197601,18742433
2024-01-30,403.589996,406.359985,399.570007,400.059998,399.239594,18614727
2024-01-31,389.000000,398.000000,387.100006,390.140015,389.339935,20180817
2024-02-01,393.940002,400.500000,393.049988,394.779999,393.970398,29727051
2024-02-02,459.600006,485.959991,453.010010,474.989990,474.015900,84707646
2024-02-05,469.880005,471.899994,459.220001,459.410004,458.467865,40832376
2024-02-06,464.000000,467.119995,453.000000,454.720001,453.787476,21655214
2024-02-07,458.000000,471.519989,456.177307,469.589996,468.627014,23065994
2024-02-08,468.320007,470.589996,465.029999,470.000000,469.036163,18815097
2024-02-09,472.950012,473.589996,467.464996,468.109985,467.150024,18413137
2024-02-12,468.190002,479.144989,466.579987,468.899994,467.938416,19381963
2024-02-13,456.869995,467.890015,455.089996,460.119995,459.176422,20916602
2024-02-14,467.929993,474.109985,466.090088,473.279999,472.309448,16858401
2024-02-15,475.279999,488.619995,472.220001,484.029999,483.037384,24212326
2024-02-16,478.109985,478.959991,469.209991,473.320007,472.349335,23324620
2024-02-20,469.714996,476.179993,466.559998,471.750000,470.782562,18015523
2024-02-21,466.500000,469.000000,461.790009,468.029999,467.565765,12977050
2024-02-22,480.239990,489.989990,476.061798,486.130005,485.647827,21625805
2024-02-23,488.049988,494.359894,482.348206,484.029999,483.549896,18374286
2024-02-26,483.470001,486.140015,480.600006,481.739990,481.262177,12101415
2024-02-27,479.975006,487.269989,479.920013,487.049988,486.566895,10809595
2024-02-28,485.000000,491.049988,482.750000,484.019989,483.539886,12715486
2024-02-29,488.440002,491.700012,482.609985,490.130005,489.643860,17732045
2024-03-01,492.109985,504.250000,491.850006,502.299988,501.801758,15884882
2024-03-04,503.000000,504.420013,496.420013,498.190002,497.695862,12324141
2024-03-05,495.000000,495.579987,487.890015,490.220001,489.733765,15325299
2024-03-06,497.630005,502.970001,494.291992,496.089996,495.597931,11757925
2024-03-07,503.279999,519.849976,501.380005,512.190002,511.681976,18586437
2024-03-08,514.190002,523.570007,499.350006,505.950012,505.448181,18597059
2024-03-11,497.010010,497.317993,476.000000,483.589996,483.110321,20428274
2024-03-12,493.260010,502.309998,484.730011,499.750000,499.254303,15448232
2024-03-13,495.390015,500.980011,491.031799,495.570007,495.078461,12090656
2024-03-14,500.255005,501.350006,488.160004,491.829987,491.342163,12620014
2024-03-15,489.010010,491.829987,481.300110,484.100006,483.619843,29153576
2024-03-18,491.910004,497.420013,486.809998,496.980011,496.487061,11755251
2024-03-19,488.170013,496.629608,481.279999,496.239990,495.747772,10903092
2024-03-20,499.500000,508.199890,495.170013,505.519989,505.018585,11711100
