Date,Open,High,Low,Close,Adj Close,Volume
2023-10-30,87.309998,88.300003,86.000000,86.059998,85.045311,9785511
2023-10-31,86.150002,86.430000,84.949997,86.309998,85.292358,9004922
2023-11-01,86.470001,87.870003,86.339996,87.800003,86.764801,9508804
2023-11-02,90.400002,91.050003,89.464996,90.480003,89.413200,11032583
2023-11-03,91.650002,92.449997,90.839996,91.790001,90.707748,9226706
2023-11-06,92.000000,92.610001,91.290001,92.599998,91.508202,8402708
2023-11-07,92.250000,93.050003,91.750000,92.410004,91.320442,6241257
2023-11-08,93.330002,93.440002,91.930000,92.000000,90.915276,6537666
2023-11-09,92.629997,93.370003,91.599998,91.620003,90.539764,8166021
2023-11-10,94.040001,97.750000,93.610001,97.440002,96.291138,19292869
2023-11-13,97.010002,97.180000,95.720001,96.419998,95.283165,9526286
2023-11-14,98.000000,99.690002,97.949997,98.910004,97.743805,13873244
2023-11-15,99.949997,100.699898,98.419998,98.800003,97.635101,10422887
2023-11-16,98.239998,99.099701,97.910004,98.540001,97.378174,8459045
2023-11-17,98.940002,99.720001,98.321503,99.580002,98.405907,7247710
2023-11-20,99.900002,100.588699,99.540001,99.959999,98.781433,6452894
2023-11-21,100.000000,100.150002,98.235001,98.410004,97.249702,10112622
2023-11-22,98.720001,99.650002,97.949997,98.650002,97.486870,7416466
2023-11-24,98.480003,98.724998,97.470001,97.830002,96.676537,4297621
2023-11-27,97.419998,97.550003,96.419998,97.209999,96.063850,6856096
2023-11-28,97.870003,98.250000,97.235001,97.980003,96.824776,6358143
2023-11-29,99.000000,99.730003,98.599998,98.879997,97.714157,7091122
2023-11-30,98.925003,98.980003,96.900002,97.309998,96.162674,9681363
2023-12-01,97.699997,98.779999,97.019997,98.550003,97.388046,7500388
2023-12-04,97.050003,97.199997,95.250099,97.010002,95.866211,10619352
2023-12-05,96.459999,97.014999,95.879997,96.690002,95.549973,8009587
2023-12-06,97.800003,98.570000,97.445000,97.849998,96.696304,11262266
2023-12-07,97.959999,99.639999,97.889999,99.290001,98.119324,11373668
2023-12-08,99.120003,100.370003,98.945000,100.349998,99.166824,10572458
2023-12-11,99.570000,101.209999,99.370003,100.949997,99.759750,9482773
2023-12-12,100.150002,101.650002,99.949997,101.599998,100.402092,7378574
2023-12-13,101.400002,102.680000,100.904999,102.120003,100.915955,8988814
2023-12-14,103.349998,103.809998,102.800003,103.449997,102.716339,10074499
2023-12-15,103.500000,104.754997,102.389999,102.540001,101.812798,16379236
2023-12-18,102.839996,103.309998,102.080002,102.930000,102.200035,5660567
2023-12-19,103.239998,103.974998,103.089996,103.870003,103.133369,8498473
2023-12-20,102.699997,103.084999,99.934998,100.040001,99.330528,10814080
2023-12-21,101.300003,102.714996,101.160004,102.550003,101.822731,9068244
2023-12-22,102.930000,103.589996,102.705002,103.150002,102.418472,5566576
2023-12-26,103.610001,104.957497,103.570000,104.449997,103.709251,6407484
2023-12-27,105.050003,105.370003,104.074997,104.650002,103.907837,5889724
2023-12-28,105.000000,105.519997,104.699997,104.699997,103.957474,5335145
2023-12-29,104.720001,104.970001,103.669998,104.000000,103.262444,4409641
2024-01-02,102.250000,102.620003,100.589996,101.529999,100.809952,9020864
2024-01-03,100.339996,101.250000,99.661003,100.169998,99.459602,6650601
2024-01-04,99.529999,100.440002,99.120003,99.129997,98.426971,7996713
2024-01-05,99.000000,100.639999,98.800003,99.610001,98.903580,7347316
2024-01-08,100.629997,102.790001,100.500000,102.239998,101.514923,12455556
2024-01-09,101.050003,101.964996,100.209999,101.889999,101.167404,7763961
2024-01-10,102.519997,102.777298,99.980003,100.800003,100.085136,6975726
2024-01-11,101.699997,102.160004,99.989998,101.220001,100.502159,7862691
2024-01-12,100.889999,102.375000,100.870003,101.239998,100.522011,6519711
2024-01-16,100.529999,102.349998,100.199997,101.669998,100.948967,11185515
2024-01-17,100.870003,103.324997,100.000000,102.949997,102.219879,17649519
2024-01-18,111.199997,113.389999,109.480003,113.029999,112.228394,58783719
2024-01-19,113.220001,115.150002,111.019997,114.199997,113.390106,37812587
2024-01-22,114.779999,115.099998,112.519997,113.029999,112.228394,17755537
2024-01-23,113.519997,114.619904,113.160004,114.129997,113.320595,11667877
2024-01-24,115.330002,118.845497,114.610001,116.519997,115.693649,21859177
2024-01-25,118.019997,118.839996,116.480003,116.559998,115.733360,15485264
2024-01-26,116.900002,118.040001,116.302002,117.260002,116.428406,10196442
2024-01-29,117.169998,117.870102,115.754997,116.980003,116.150391,10042237
2024-01-30,116.360001,118.010002,115.560898,116.059998,115.236916,11030838
2024-01-31,113.500000,114.739998,112.875000,112.959999,112.158897,12853858
2024-02-01,113.800003,114.032501,112.605003,113.389999,112.585846,8807585
2024-02-02,114.860001,115.959999,113.920097,115.750000,114.929115,10043957
2024-02-05,117.129997,119.540001,116.580002,118.790001,117.947556,13267629
2024-02-06,120.120003,120.989998,118.276802,119.379997,118.533371,11511859
